id,category,question,optionA,optionB,optionC,optionD,correctAnswer,explanation
A1,funfacts,How many hearts does an octopus have?,1,2,3,4,C,Octopuses have three hearts: two pump blood through the gills and one pumps it through the body.
A2,funfacts,Which planet has the most moons?,Earth,Jupiter,Saturn,Neptune,C,Saturn has 83 confirmed moons as of 2023 which is more than any other planet in our solar system.
A3,funfacts,What percentage of the Earth's surface is covered by oceans?,50%,60%,70%,80%,C,About 71% of the Earth's surface is covered by water with oceans making up about 70%.
A4,funfacts,Which animal sleeps standing up?,Elephants,Horses,Lions,Bears,B,Horses can lock their leg joints which allows them to sleep standing up to quickly escape predators if needed.
A5,funfacts,How long does it take sunlight to reach Earth?,8 minutes,8 hours,8 days,8 seconds,A,It takes about 8 minutes and 20 seconds for light from the Sun to reach Earth.
B1,psychology,What is the term for the tendency to recall unfinished tasks better than completed ones?,Zeigarnik effect,Dunning-Kruger effect,Placebo effect,Hawthorne effect,A,The Zeigarnik effect describes how people remember uncompleted tasks better than completed ones due to psychological tension.
B2,psychology,Which part of the brain is primarily responsible for decision-making?,Cerebellum,Amygdala,Prefrontal cortex,Hippocampus,C,The prefrontal cortex is crucial for complex cognitive behavior including decision making and moderating social behavior.
B3,psychology,What is the term for the study of body language?,Kinesics,Linguistics,Ergonomics,Proxemics,A,Kinesics is the study and interpretation of nonverbal communication through body movements and gestures.
B4,psychology,What psychological phenomenon describes our tendency to seek information that confirms our existing beliefs?,Confirmation bias,Availability heuristic,Anchoring bias,Reactance,A,Confirmation bias is the tendency to search for interpret and recall information in a way that confirms one's preexisting beliefs.
B5,psychology,Which psychologist is known for the hierarchy of needs theory?,Carl Jung,B.F. Skinner,Abraham Maslow,Sigmund Freud,C,Abraham Maslow proposed the hierarchy of needs theory showing how humans fulfill basic needs before pursuing higher ones.
C1,math,What is the square root of 144?,10,11,12,13,C,The square root of 144 is 12 because 12² = 144.
C2,math,What is the value of π (pi) rounded to two decimal places?,3.12,3.14,3.16,3.18,B,The value of π rounded to two decimal places is 3.14.
C3,math,What is the sum of angles in a triangle?,90 degrees,180 degrees,270 degrees,360 degrees,B,The sum of interior angles in any triangle is always 180 degrees.
C4,math,Which of these numbers is a prime number?,15,21,27,31,D,31 is a prime number because its only factors are 1 and itself.
C5,math,What is the result of 7² - 3²?,40,43,46,49,A,7² - 3² = 49 - 9 = 40.
D1,science,What is the chemical symbol for gold?,Au,Ag,Fe,Ge,A,The chemical symbol for gold is Au from the Latin word 'aurum'.
D2,science,What is the hardest natural substance on Earth?,Steel,Diamond,Titanium,Quartz,B,Diamond is the hardest known natural material on Earth rating 10 on the Mohs scale of hardness.
D3,science,What particle has a positive charge?,Proton,Neutron,Electron,Photon,A,Protons have a positive charge electrons have a negative charge and neutrons have no charge.
D4,science,Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Saturn,C,Mars is called the Red Planet because of the reddish iron oxide on its surface.
D5,science,What is the largest organ in the human body?,Heart,Liver,Brain,Skin,D,The skin is the largest organ in the human body covering an area of about 2 square meters for an average adult.
E1,history,Who was the first President of the United States?,Thomas Jefferson,John Adams,George Washington,Benjamin Franklin,C,George Washington served as the first President of the United States from 1789 to 1797.
E2,history,In which year did World War II end?,1943,1945,1947,1950,B,World War II ended in 1945 with the surrender of Japan following the atomic bombings of Hiroshima and Nagasaki.
E3,history,Which ancient civilization built the pyramids at Giza?,Babylonians,Romans,Egyptians,Greeks,C,The ancient Egyptians built the pyramids at Giza with the Great Pyramid being constructed around 2560 BCE.
E4,history,Who wrote the Declaration of Independence?,George Washington,Thomas Jefferson,Benjamin Franklin,John Adams,B,Thomas Jefferson was the principal author of the Declaration of Independence.
E5,history,Which empire was ruled by Genghis Khan?,Roman Empire,Byzantine Empire,Ottoman Empire,Mongol Empire,D,Genghis Khan founded and ruled the Mongol Empire which became the largest contiguous land empire in history.
F1,english,What is the past tense of the verb 'to go'?,Gone,Went,Going,Goed,B,The past tense of 'to go' is 'went' while 'gone' is the past participle.
F2,english,Which of these words is a synonym for 'happy'?,Sad,Jealous,Joyful,Angry,C,Joyful is a synonym (word with similar meaning) for happy.
F3,english,What part of speech is the word 'quickly'?,Noun,Verb,Adjective,Adverb,D,Quickly is an adverb - it modifies verbs adjectives or other adverbs.
F4,english,What is the plural form of 'child'?,Childs,Childes,Children,Childrens,C,The plural of 'child' is the irregular form 'children'.
F5,english,Which punctuation mark ends an interrogative sentence?,Period,Comma,Exclamation point,Question mark,D,A question mark (?) is used at the end of an interrogative sentence (a question).
G1,general,Which is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Southern Ocean,Pacific Ocean,D,The Pacific Ocean is the largest and deepest ocean on Earth covering more than 30% of the Earth's surface.
G2,general,What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,C,Ottawa is the capital city of Canada located in the province of Ontario.
G3,general,How many continents are there on Earth?,5,6,7,8,C,There are seven continents: Africa Antarctica Asia Australia/Oceania Europe North America and South America.
G4,general,Which of these animals is a mammal?,Shark,Eagle,Crocodile,Dolphin,D,Dolphins are mammals - they breathe air give birth to live young and produce milk for their offspring.
G5,general,Which planet is closest to the Sun?,Earth,Venus,Mercury,Mars,C,Mercury is the closest planet to the Sun in our solar system.
